"aisle_id","product_id","product_name","department_id","aisle"
1,45757,"Picnic Potato Salad",20,"prepared soups salads"
1,25965,"Santa Fe Fiesta Salad",20,"prepared soups salads"
1,22486,"Kale White Bean Salad",20,"prepared soups salads"
1,18923,"Organic Minestrone Soup",20,"prepared soups salads"
1,10059,"Quinoa Salad Pistachio Citrus",20,"prepared soups salads"
1,9431,"San Francisco Potato Salad",20,"prepared soups salads"
1,30629,"Southwest Couscous Salad",20,"prepared soups salads"
1,39897,"Organic Caesar Salad",20,"prepared soups salads"
1,42735,"Tomato Basil Soup",20,"prepared soups salads"
1,35457,"Zucchini Soup",20,"prepared soups salads"
1,32821,"Zen Salad",20,"prepared soups salads"
1,4112,"Chopped Salad Bowl Italian Salad with Salami & Turkey",20,"prepared soups salads"
1,19842,"Albacore Tuna Salad",20,"prepared soups salads"
1,28874,"Carrot Ginger Soup",20,"prepared soups salads"
1,29746,"Red Skin Potato Salad",20,"prepared soups salads"
1,16618,"Classic Potato Salad",20,"prepared soups salads"
1,22853,"Pesto Pasta Salad",20,"prepared soups salads"
1,42346,"Three Bean Salad",20,"prepared soups salads"
1,16130,"Bistro Organic Caesar Salad Bowl with Chicken",20,"prepared soups salads"
1,31315,"Cobb Salad With Chicken & Bacon",20,"prepared soups salads"
1,38043,"Chopped Bbq Seasoned Ranch Chicken Salad Bowl",20,"prepared soups salads"
1,26047,"Tuna Salad",20,"prepared soups salads"
1,17302,"Lobster Bisque",20,"prepared soups salads"
1,48556,"Red Potato Salad",20,"prepared soups salads"
1,33399,"Red Lentil Dahl Soup",20,"prepared soups salads"
1,31813,"Sesame Noodle Salad",20,"prepared soups salads"
1,25852,"Edamame",20,"prepared soups salads"
1,29540,"Chop Chipotle Chedder Kit",20,"prepared soups salads"
1,19768,"Chinese Chicken Salad",20,"prepared soups salads"
1,40788,"Organic Black Bean Soup",20,"prepared soups salads"
1,31600,"Jamaican Jerk Hemp Seed Salad",20,"prepared soups salads"
1,8121,"Split Pea Soup",20,"prepared soups salads"
1,45749,"Quinoa Salad Tomato Pine Nut",20,"prepared soups salads"
1,41116,"Spinach Dijon Salad",20,"prepared soups salads"
1,34832,"Wild Rice Edamame Salad",20,"prepared soups salads"
1,46897,"Pasta Salad",20,"prepared soups salads"
1,10654,"Rotisserie Chicken Salad",20,"prepared soups salads"
1,28144,"Tabouli",20,"prepared soups salads"
1,30213,"Organic Cook Me Mixed Vegetables",20,"prepared soups salads"
1,209,"Italian Pasta Salad",20,"prepared soups salads"
1,27593,"Le Petite Fromage Garden Salsa Spreadable Cheese",20,"prepared soups salads"
1,20137,"Broccoli Cheddar Soup",20,"prepared soups salads"
1,5351,"Smoked Whitefish Salad",20,"prepared soups salads"
1,554,"Turkey Chili",20,"prepared soups salads"
1,22281,"Chicken Noodle Soup",20,"prepared soups salads"
1,15767,"Blackened Chicken Salad",20,"prepared soups salads"
1,15482,"Cobb Salad",20,"prepared soups salads"
1,45115,"Super Grains Tabbouleh",20,"prepared soups salads"
1,24332,"Carrot Ginger With Coconut Soup",20,"prepared soups salads"
1,19268,"Minestrone Soup",20,"prepared soups salads"
1,25595,"Chilled Gazpacho De Sol Vegetable Soup",20,"prepared soups salads"
1,8946,"Organic Spinach Pow Salad",20,"prepared soups salads"
1,6778,"Soup, Golden Quinoa and Kale",20,"prepared soups salads"
1,24070,"Spicy Homestyle Guacamole",20,"prepared soups salads"
1,45302,"Mini Falafel With Tahini Sauce",20,"prepared soups salads"
1,23342,"Carrot Pistachio & Tarragon Soup",20,"prepared soups salads"
1,40953,"Bacon Bleu Wedge Chopped Salad",20,"prepared soups salads"
1,33878,"Potato Salad",20,"prepared soups salads"
1,28008,"Greek Salad",20,"prepared soups salads"
1,36878,"Caesar Salad",20,"prepared soups salads"
1,18649,"Thai Veggie Chicken",20,"prepared soups salads"
1,32170,"Lentil Salad",20,"prepared soups salads"
1,32608,"Organic Cranberry Winter Salad",20,"prepared soups salads"
1,886,"Whole Grain Salad with Roasted Pecans & Mango Vinaigrette",20,"prepared soups salads"
1,13603,"Tarragon Chicken Salad",20,"prepared soups salads"
1,21384,"Greek Orzo Salad",20,"prepared soups salads"
1,33016,"Chef Salad",20,"prepared soups salads"
1,44601,"Organic Classic Gazpacho Chilled Vegetable Soup",20,"prepared soups salads"
1,29180,"Tuscan Kale & Quinoa Salad",20,"prepared soups salads"
1,5653,"Chicken Curry Salad",20,"prepared soups salads"
1,39410,"Gatherings Turkey & Cheese Snack Tray",20,"prepared soups salads"
1,22321,"Gazpacho Verde Chilled Vegetable Soup",20,"prepared soups salads"
1,41520,"Deviled Egg Potato Salad",20,"prepared soups salads"
1,43037,"Garden Minestrone Soup",20,"prepared soups salads"
1,27216,"Macaroni Salad",20,"prepared soups salads"
1,43000,"Quinoa Salad",20,"prepared soups salads"
1,29475,"Salad Bar",20,"prepared soups salads"
1,49445,"Baked Potato Soup",20,"prepared soups salads"
1,10288,"Broccoli with Almond Soup",20,"prepared soups salads"
1,47885,"Black Bean Salad",20,"prepared soups salads"
1,17719,"Mediterranean Lentil Salad",20,"prepared soups salads"
1,1600,"Mediterranean Orzo Salad",20,"prepared soups salads"
1,49056,"Organic Blend Me Mixed Vegetables",20,"prepared soups salads"
1,38612,"The Vegan Caesar",20,"prepared soups salads"
1,13029,"Ready Pac Salad Santa Fe Caesar Bowls",20,"prepared soups salads"
1,21560,"Cut Hearts Of Palm",20,"prepared soups salads"
1,10617,"Butternut Squash Cumin Soup",20,"prepared soups salads"
